 basin_id E0 E1 E2 E3
0 01054200 0.5 0.5 0.5 0.5
1 01055000 0.5 0.5 0.5 0.5
2 01057000 0.5 0.5 0.5 0.5
3 01073000 0.5 0.5 0.5 0.5
4 01078000 0.5 0.5 0.5 0.5
5 01118300 0.5 0.5 0.5 0.5
6 01121000 0.5 0.5 0.5 0.5
7 01123000 0.5 0.5 0.5 0.5
8 01134500 0.5 0.5 0.5 0.5
9 01137500 0.5 0.5 0.5 0.5
10 01139000 0.5 0.5 0.5 0.5
11 01139800 0.5 0.5 0.5 0.5
12 01142500 0.5 0.5 0.5 0.5
13 01144000 0.5 0.5 0.5 0.5
14 01162500 0.5 0.5 0.5 0.5
15 01169000 0.5 0.5 0.5 0.5
16 01170100 0.5 0.5 0.5 0.5
17 01181000 0.5 0.5 0.5 0.5
18 01187300 0.5 0.5 0.5 0.5
19 01333000 0.5 0.5 0.5 0.5
20 01350000 0.5 0.5 0.5 0.5
21 01350140 0.5 0.5 0.5 0.5
22 01365000 0.5 0.5 0.5 0.5
23 01411300 0.5 0.5 0.5 0.5
24 01413500 0.5 0.5 0.5 0.5
25 01414500 0.5 0.5 0.5 0.5
26 01415000 0.5 0.5 0.5 0.5
27 01423000 0.5 0.5 0.5 0.5
28 01435000 0.5 0.5 0.5 0.5
29 01439500 0.5 0.5 0.5 0.5
30 01440000 0.5 0.5 0.5 0.5
31 01440400 0.5 0.5 0.5 0.5
32 01451800 0.5 0.5 0.5 0.5
33 01466500 0.5 0.5 0.5 0.5
34 01484100 0.5 0.5 0.5 0.5
35 01485500 0.5 0.5 0.5 0.5
36 01486000 0.5 0.5 0.5 0.5
37 01487000 0.5 0.5 0.5 0.5
38 01491000 0.5 0.5 0.5 0.5
39 01510000 0.5 0.5 0.5 0.5
40 01516500 0.5 0.5 0.5 0.5
41 01532000 0.5 0.5 0.5 0.5
42 01539000 0.5 0.5 0.5 0.5
43 01542810 0.5 0.5 0.5 0.5
44 01543000 0.5 0.5 0.5 0.5
45 01543500 0.5 0.5 0.5 0.5
46 01544500 0.5 0.5 0.5 0.5
47 01545600 0.5 0.5 0.5 0.5
48 01547700 0.5 0.5 0.5 0.5
49 01548500 0.5 0.5 0.5 0.5
50 01549500 0.5 0.5 0.5 0.5
51 01550000 0.5 0.5 0.5 0.5
52 01552000 0.5 0.5 0.5 0.5
53 01552500 0.5 0.5 0.5 0.5
54 01557500 0.5 0.5 0.5 0.5
55 01567500 0.5 0.5 0.5 0.5
56 01568000 0.5 0.5 0.5 0.5
57 01580000 0.5 0.5 0.5 0.5
58 01583500 0.5 0.5 0.5 0.5
59 01591400 0.5 0.5 0.5 0.5
60 01596500 0.5 0.5 0.5 0.5
61 01605500 0.5 0.5 0.5 0.5
62 01606500 0.5 0.5 0.5 0.5
63 01620500 0.5 0.5 0.5 0.5
64 01632000 0.5 0.5 0.5 0.5
65 01632900 0.5 0.5 0.5 0.5
66 01634500 0.5 0.5 0.5 0.5
67 01638480 0.5 0.5 0.5 0.5
68 01639500 0.5 0.5 0.5 0.5
69 01644000 0.5 0.5 0.5 0.5
70 01658500 0.5 0.5 0.5 0.5
71 01664000 0.5 0.5 0.5 0.5
72 01666500 0.5 0.5 0.5 0.5
73 01667500 0.5 0.5 0.5 0.5
74 01669000 0.5 0.5 0.5 0.5
75 02011400 0.5 0.5 0.5 0.5
76 02011460 0.5 0.5 0.5 0.5
77 02013000 0.5 0.5 0.5 0.5
78 02014000 0.5 0.5 0.5 0.5
79 02015700 0.5 0.5 0.5 0.5
80 02016000 0.5 0.5 0.5 0.5
81 02017500 0.5 0.5 0.5 0.5
82 02018000 0.5 0.5 0.5 0.5
83 02027000 0.5 0.5 0.5 0.5
84 02027500 0.5 0.5 0.5 0.5
85 02028500 0.5 0.5 0.5 0.5
86 02038850 0.5 0.5 0.5 0.5
87 02046000 0.5 0.5 0.5 0.5
88 02051500 0.5 0.5 0.5 0.5
89 02053200 0.5 0.5 0.5 0.5
90 02053800 0.5 0.5 0.5 0.5
91 02055100 0.5 0.5 0.5 0.5
92 02056900 0.5 0.5 0.5 0.5
93 02059500 0.5 0.5 0.5 0.5
94 02064000 0.5 0.5 0.5 0.5
95 02065500 0.5 0.5 0.5 0.5
96 02069700 0.5 0.5 0.5 0.5
97 02070000 0.5 0.5 0.5 0.5
98 02074500 0.5 0.5 0.5 0.5
99 02077200 0.5 0.5 0.5 0.5
100 02081500 0.5 0.5 0.5 0.5
101 02082950 0.5 0.5 0.5 0.5
102 02092500 0.5 0.5 0.5 0.5
103 02102908 0.5 0.5 0.5 0.5
104 02108000 0.5 0.5 0.5 0.5
105 02111180 0.5 0.5 0.5 0.5
106 02111500 0.5 0.5 0.5 0.5
107 02112120 0.5 0.5 0.5 0.5
108 02112360 0.5 0.5 0.5 0.5
109 02118500 0.5 0.5 0.5 0.5
110 02125000 0.5 0.5 0.5 0.5
111 02128000 0.5 0.5 0.5 0.5
112 02137727 0.5 0.5 0.5 0.5
113 02143000 0.5 0.5 0.5 0.5
114 02143040 0.5 0.5 0.5 0.5
115 02149000 0.5 0.5 0.5 0.5
116 02152100 0.5 0.5 0.5 0.5
117 02177000 0.5 0.5 0.5 0.5
118 02178400 0.5 0.5 0.5 0.5
119 02202600 0.5 0.5 0.5 0.5
120 02212600 0.5 0.5 0.5 0.5
121 02221525 0.5 0.5 0.5 0.5
122 02231000 0.5 0.5 0.5 0.5
123 02231342 0.5 0.5 0.5 0.5
124 02245500 0.5 0.5 0.5 0.5
125 02246000 0.5 0.5 0.5 0.5
126 02296500 0.5 0.5 0.5 0.5
127 02297155 0.5 0.5 0.5 0.5
128 02297310 0.5 0.5 0.5 0.5
129 02298123 0.5 0.5 0.5 0.5
130 02298608 0.5 0.5 0.5 0.5
131 02299950 0.5 0.5 0.5 0.5
132 02300700 0.5 0.5 0.5 0.5
133 02312200 0.5 0.5 0.5 0.5
134 02314500 0.5 0.5 0.5 0.5
135 02315500 0.5 0.5 0.5 0.5
136 02324400 0.5 0.5 0.5 0.5
137 02327100 0.5 0.5 0.5 0.5
138 02342933 0.5 0.5 0.5 0.5
139 02349900 0.5 0.5 0.5 0.5
140 02361000 0.5 0.5 0.5 0.5
141 02369800 0.5 0.5 0.5 0.5
142 02371500 0.5 0.5 0.5 0.5
143 02372250 0.5 0.5 0.5 0.5
144 02374500 0.5 0.5 0.5 0.5
145 02381600 0.5 0.5 0.5 0.5
146 02395120 0.5 0.5 0.5 0.5
147 02422500 0.5 0.5 0.5 0.5
148 02430085 0.5 0.5 0.5 0.5
149 02430615 0.5 0.5 0.5 0.5
150 02450250 0.5 0.5 0.5 0.5
151 02464000 0.5 0.5 0.5 0.5
152 02465493 0.5 0.5 0.5 0.5
153 02469800 0.5 0.5 0.5 0.5
154 02472000 0.5 0.5 0.5 0.5
155 02472500 0.5 0.5 0.5 0.5
156 02479155 0.5 0.5 0.5 0.5
157 02479300 0.5 0.5 0.5 0.5
158 02479560 0.5 0.5 0.5 0.5
159 02481000 0.5 0.5 0.5 0.5
160 02481510 0.5 0.5 0.5 0.5
161 03010655 0.5 0.5 0.5 0.5
162 03011800 0.5 0.5 0.5 0.5
