 basin_id E0 E1 E2 E3
0 01054200 0.0066194865 0.9699388 0.90924835 0.9064539
1 01055000 0.027941361 0.9418221 0.8474839 0.86804545
2 01057000 0.23277295 0.8645652 0.76124436 0.53922874
3 01073000 0.21699166 0.8758483 0.8446819 0.31815445
4 01078000 0.22051235 0.8278486 0.72967345 0.4947518
5 01118300 0.051017154 0.6851096 0.5520085 0.28286904
6 01121000 0.031653322 0.6614014 0.77487904 0.39328453
7 01123000 0.082867615 0.5811732 0.64985305 0.33906838
8 01134500 0.11604452 0.85505897 0.49432558 0.58296824
9 01137500 0.07134231 0.588917 0.58025235 0.6981626
10 01139000 0.16523488 0.6466099 0.4673944 0.6807996
11 01139800 0.22493343 0.6012896 0.50022405 0.64576596
12 01142500 0.23481879 0.714879 0.5694734 0.5131012
13 01144000 0.1800747 0.73953074 0.5725464 0.53428084
14 01162500 0.3369456 0.8228416 0.81875247 0.25810552
15 01169000 0.08273885 0.9104308 0.9340401 0.57678914
16 01170100 0.18478055 0.8233006 0.86168635 0.49289542
17 01181000 0.021333806 0.9116926 0.9722651 0.46300995
18 01187300 0.0076921815 0.9528147 0.979565 0.54532295
19 01333000 0.06325879 0.8210035 0.86164933 0.26917315
20 01350000 0.003427082 0.9500585 0.99232304 0.40089452
21 01350140 0.0097817695 0.82119334 0.97983515 0.29747212
22 01365000 0.014649702 0.9036188 0.9472666 0.37723508
23 01411300 0.39159152 0.46345967 0.32224667 0.47934312
24 01413500 0.025712358 0.80444634 0.967606 0.22420532
25 01414500 0.007764216 0.7639564 0.9549666 0.2775886
26 01415000 0.015262877 0.84499 0.9522555 0.21642128
27 01423000 0.015895462 0.84524006 0.9540526 0.18992716
28 01435000 0.0017945288 0.9362293 0.92500913 0.51979685
29 01439500 0.12130837 0.81439745 0.7782357 0.17487802
30 01440000 0.05717558 0.7501993 0.78685635 0.26575908
31 01440400 0.031752482 0.90608555 0.855092 0.2366196
32 01451800 0.010638228 0.8730725 0.5975725 0.5502684
33 01466500 0.6553169 0.13025703 0.8014396 0.72059846
34 01484100 0.05372259 0.44252694 0.42432463 0.45020565
35 01485500 0.35456997 0.90675104 0.46636957 0.45157143
36 01486000 0.059324052 0.83765274 0.650292 0.42496455
37 01487000 0.18924195 0.37598193 0.51038605 0.4827389
