 basin_id q_mean runoff_ratio slope_fdc baseflow_index stream_elas q5 q95 high_q_freq high_q_dur low_q_freq low_q_dur zero_q_freq hfd_mean
0 01054200 0.2816213 0.49151468 0.5284276 0.48882607 0.28997537 0.105920754 0.31730542 0.09288194 0.020400383 0.23038116 0.04747248 0.0 0.4029765
1 01055000 0.23496193 0.47739044 0.5403071 0.49005535 0.29125202 0.076482356 0.26531944 0.09403935 0.022223296 0.23430493 0.042600896 0.0 0.4178592
2 01057000 0.18783756 0.37299594 0.6139546 0.5315823 0.2787598 0.032235652 0.21580179 0.08015046 0.02625168 0.23248318 0.06587023 0.0 0.3720664
3 01073000 0.17540902 0.35493827 0.71281123 0.5625058 0.4239013 0.027140995 0.18179885 0.04542824 0.023890404 0.26905832 0.05940248 0.0 0.31883228
4 01078000 0.1808417 0.35979635 0.6004437 0.550344 0.31452832 0.059865974 0.20795035 0.0697338 0.032958858 0.19492714 0.059174307 0.0 0.38723522
5 01118300 0.21943897 0.3992704 0.88810486 0.6275934 0.1482013 0.0243466 0.20782703 0.020254629 0.014828938 0.2508408 0.056109127 0.0 0.24241552
6 01121000 0.20175657 0.384607 0.7768568 0.6016112 0.26208976 0.033032358 0.18936667 0.03414352 0.015935812 0.23822871 0.047091722 0.0 0.24785349
7 01123000 0.17893459 0.33143768 0.7243437 0.65755713 0.23258409 0.08942285 0.15803932 0.026331019 0.015125516 0.16283633 0.043593977 0.0 0.26359475
8 01134500 0.21406966 0.43813047 0.56387407 0.5462643 0.2536309 0.098239824 0.22304688 0.052372687 0.023279918 0.12934418 0.032818668 0.0 0.42644534
9 01137500 0.24524353 0.43669692 0.5568176 0.60775167 0.29707065 0.19865035 0.23578525 0.047743056 0.017476963 0.048486546 0.033643726 0.0 0.43560386
10 01139000 0.1748182 0.39568532 0.60349244 0.6423628 0.40705818 0.110587105 0.16794564 0.024016203 0.018300552 0.09851458 0.031599015 0.0 0.4026903
11 01139800 0.18661204 0.40074745 0.61809397 0.6821371 0.3466598 0.10177732 0.17537685 0.01244213 0.020198671 0.104400225 0.03413084 0.0 0.44161418
12 01142500 0.17745598 0.37968886 0.58712196 0.641929 0.3115973 0.0736709 0.16844688 0.033275463 0.023008391 0.11631166 0.04443367 0.0 0.38981107
13 01144000 0.19147293 0.3970273 0.6084487 0.6316578 0.34395665 0.098060936 0.18804781 0.033564817 0.019582141 0.11771301 0.04821978 0.0 0.39181453
14 01162500 0.18911089 0.35421848 0.748191 0.5701001 0.26028222 0.03653312 0.19954906 0.037326388 0.028443025 0.23864911 0.067617245 0.0 0.31539777
15 01169000 0.23052831 0.4170031 0.5984295 0.5738648 0.24979743 0.087488994 0.23404871 0.047743056 0.018006567 0.18273543 0.044697873 0.0 0.34917
16 01170100 0.22379526 0.4075417 0.63883376 0.60239536 0.30104265 0.08675663 0.22639723 0.038773146 0.018325672 0.17418723 0.043869372 0.0 0.35031483
17 01181000 0.22169533 0.41218016 0.59502757 0.55037045 0.27637175 0.062151317 0.22920378 0.052372687 0.016857872 0.20683858 0.05451559 0.0 0.3145392
