 basin__id E0 E1 E2 E3
0 01054200 2.3286113e-15 1.0 0.9998018 0.99999905
1 01055000 5.132631e-11 1.0 0.9917257 0.9999839
2 01057000 2.6987978e-05 0.9999999 0.9725123 0.97021705
3 01073000 1.1389961e-05 0.9999999 0.9525554 0.4711436
4 01078000 7.884615e-05 0.9999999 0.84374744 0.8646814
5 01118300 1.12177496e-07 0.99999654 0.54194164 0.23729903
6 01121000 8.928652e-09 0.99999857 0.72298235 0.8444748
7 01123000 2.8637705e-06 0.99996686 0.68453014 0.6018952
8 01134500 5.4480056e-06 1.0 0.64270693 0.97739446
9 01137500 8.1426535e-08 1.0 0.9917355 0.99806005
10 01139000 0.0012391792 0.99992526 0.2738919 0.87442034
11 01139800 0.010840618 0.99994886 0.63809526 0.7749048
12 01142500 0.0026454711 0.99998045 0.82794446 0.81495655
13 01144000 0.00016101648 0.99999785 0.8443489 0.8570611
14 01162500 0.0006008785 0.99998665 0.80943954 0.4477535
