 basin_id E0 E1 E2
0 01054200 0.903495 0.973959 0.9962083
1 01055000 0.8122413 0.94380033 0.98288476
2 01057000 0.5648588 0.77592 0.8252548
3 01073000 0.5223571 0.74844545 0.679658
4 01078000 0.5590126 0.7826036 0.8052783
5 01118300 0.6145762 0.713321 0.6696541
6 01121000 0.7979062 0.6989746 0.8282278
7 01123000 0.7312788 0.61038625 0.71846616
8 01134500 0.62632066 0.8591279 0.8541459
9 01137500 0.6760748 0.7504159 0.8839805
10 01139000 0.5588418 0.685143 0.7081873
11 01139800 0.5730621 0.6287418 0.67653656
12 01142500 0.54316753 0.7079327 0.69170135
13 01144000 0.5918286 0.74895024 0.7579991
14 01162500 0.52282816 0.6538502 0.5898508
15 01169000 0.66718775 0.8598107 0.9437003
16 01170100 0.60432696 0.7644026 0.8323679
17 01181000 0.73027563 0.8493122 0.96134216
18 01187300 0.8614435 0.8729462 0.9804555
19 01333000 0.6389135 0.74064845 0.73346645
20 01350000 0.842579 0.8428712 0.9587834
21 01350140 0.81119335 0.78192747 0.8857693
22 01365000 0.72087795 0.8025567 0.8401683
23 01411300 0.5894767 0.47975746 0.43548742
24 01413500 0.72225344 0.7180634 0.7451516
25 01414500 0.7699995 0.7357352 0.7908064
26 01415000 0.7540311 0.7634374 0.7923865
27 01423000 0.7479496 0.78348327 0.7727278
28 01435000 0.8104738 0.89132404 0.94209003
29 01439500 0.5814941 0.7206616 0.5491264
30 01440000 0.64209926 0.7062456 0.65007037
31 01440400 0.63284093 0.8552837 0.71540844
32 01451800 0.8103378 0.87430346 0.8378175
33 01466500 0.77226174 0.036092643 0.6761625
34 01484100 0.63227904 0.5772323 0.67794
35 01485500 0.5192588 0.8298047 0.43478474
36 01486000 0.66779417 0.8700899 0.7695628
37 01487000 0.6841551 0.4535324 0.6135501
38 01491000 0.6305603 0.7018316 0.69086826
39 01510000 0.77013695 0.9085049 0.89022917
40 01516500 0.9768982 0.86940354 0.99337715
41 01532000 0.95837134 0.93442374 0.98552114
