 basin_id E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 E13 E14 E15 E16 E17 E18 E19 E20 E21 E22 E23 E24 E25 E26
0 01054200 0.74342996 0.84252757 0.34575284 0.32648513 0.35353374 0.11050647 0.6458082 0.3384766 0.45827326 0.35042986 0.59666896 0.62981266 0.13519186 0.042706724 0.1191458 0.5176293 0.042720318 0.40871006 0.53332764 0.45391288 0.030247467 0.61880815 0.26742154 0.55383146 0.57234913 0.07033127 0.16307096
1 01055000 0.67908055 0.73514986 0.33549118 0.3263295 0.31824479 0.15125513 0.6420802 0.429473 0.5583063 0.39030185 0.6642002 0.5764696 0.27428374 0.09279366 0.18543884 0.51283365 0.067106 0.43516004 0.51042426 0.5738766 0.10214723 0.5457615 0.3489509 0.6062272 0.4816146 0.12295614 0.21083719
2 01057000 0.69417155 0.6004642 0.28213504 0.28109205 0.13497925 0.16475838 0.5070345 0.55366105 0.6300318 0.20000094 0.69255465 0.42890665 0.40245807 0.25456348 0.18512516 0.4231866 0.15996237 0.40719005 0.44693863 0.6910561 0.23781493 0.56496817 0.3929769 0.6724291 0.48968136 0.1444461 0.11888403
3 01073000 0.69802165 0.38710973 0.23253755 0.20345595 0.053786963 0.13038883 0.5692343 0.60310155 0.5300937 0.09323326 0.72917837 0.33053085 0.38045403 0.15490109 0.092136815 0.39152318 0.067681186 0.32815632 0.4676845 0.7662715 0.14162593 0.69830155 0.2941667 0.73269737 0.46070692 0.080065444 0.047179293
4 01078000 0.6519163 0.51840955 0.2768945 0.26218823 0.115624204 0.17224938 0.45690078 0.59308606 0.56176835 0.18945022 0.7383884 0.45385563 0.42984414 0.21906272 0.13317958 0.40576068 0.107404284 0.415397 0.41306946 0.70952 0.22975503 0.6344052 0.327502 0.67663586 0.5030256 0.14033255 0.09997833
5 01118300 0.5496549 0.41542974 0.15168114 0.13695541 0.024671344 0.1268459 0.60629445 0.6260886 0.4957566 0.11528755 0.48926347 0.27832976 0.47111169 0.036775514 0.03949128 0.66648096 0.029661985 0.15676269 0.2947656 0.7262033 0.054157495 0.4361807 0.3346446 0.67130077 0.5672609 0.04266685 0.008738025
6 01121000 0.555016 0.6648891 0.17362651 0.14173508 0.07552404 0.1975626 0.5907891 0.5086921 0.5327155 0.26430956 0.46348974 0.44452566 0.4348163 0.0353579 0.11037326 0.588877 0.052261114 0.28054765 0.3238769 0.7248617 0.09017744 0.31714404 0.25435778 0.42023885 0.49789497 0.11109475 0.03281965
7 01123000 0.60581255 0.53534824 0.16563691 0.119504124 0.036323726 0.15169254 0.54605615 0.6616875 0.50907475 0.2525566 0.36338714 0.2997839 0.41109467 0.043025736 0.108834356 0.6493591 0.0730165 0.19280218 0.3613187 0.75900775 0.10541346 0.28231278 0.2935697 0.53014576 0.5434834 0.1003895 0.015987244
8 01134500 0.7566112 0.4970399 0.27440813 0.3118907 0.121295534 0.17640978 0.5225456 0.56588095 0.5607586 0.20563717 0.68248206 0.54146487 0.3471638 0.16806778 0.1590044 0.5202766 0.059348606 0.42145 0.3829013 0.6643842 0.23142695 0.5571555 0.27920195 0.6984918 0.46580678 0.14924358 0.18697299
9 01137500 0.7575745 0.6940184 0.31531507 0.30892316 0.08816825 0.082119964 0.33050582 0.60635954 0.5159441 0.2400579 0.5765893 0.38670152 0.19327945 0.08280071 0.14027826 0.49546915 0.08246617 0.32045 0.4053236 0.67506176 0.14898519 0.5274622 0.37233362 0.58396375 0.6915989 0.19611907 0.10699301
