 basin_id E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 E13 E14 E15 E16 E17 E18 E19 E20 E21 E22 E23 E24 E25 E26
0 01054200 0.41273934 0.08058836 0.6537932 0.33061087 0.06075484 0.38709676 0.11746308 0.28187922 0.014070333 0.0 0.4080893 0.12976801 0.3504478 0.006861982 1.0 0.89217764 0.8844149 0.960359 0.6837086 0.013064218 0.979494 0.14728747 0.18301077 0.5261398 0.59599394 0.4453063 0.16502649
1 01055000 0.34364545 0.06824315 0.680222 0.3376804 0.07594375 0.45362902 0.091021106 0.30732664 0.017479163 0.0 0.3825358 0.11595436 0.2824652 0.009563343 0.9916 0.89413464 0.892056 0.9596098 0.70993966 0.03750199 0.8815123 0.16542977 0.15568474 0.4769307 0.5417152 0.49003598 0.1752323
2 01057000 0.35284868 0.0821311 0.6428334 0.27711597 0.07559505 0.5020161 0.09284984 0.38814318 0.028426416 0.077433415 0.44816065 0.057675295 0.12501556 0.0072474475 0.9415 0.9579728 0.94942665 0.9860602 0.6895779 0.070401795 1.0 0.1005284 0.26527208 0.54952365 0.72381705 0.30804405 0.12310125
3 01073000 0.34471172 0.10844983 0.6221355 0.19312285 0.08218716 0.5221774 0.1489016 0.44239372 0.03638168 0.0 0.42857134 0.0077113817 0.015412872 0.0010575091 0.9008 0.87762773 0.8311969 0.89843935 0.5618532 0.39595416 0.8233 0.14055754 0.18519661 0.43864635 0.57428795 0.40391985 0.16741794
4 01078000 0.35193083 0.10019933 0.6561371 0.26449454 0.0787434 0.546371 0.09540075 0.36129755 0.02451792 0.0 0.4274821 0.094555706 0.19206004 0.008470545 0.9873 0.96348345 0.93191063 0.9766817 0.63529235 0.0679957 1.0 0.099793784 0.2649026 0.55146587 0.72562873 0.3059293 0.12373444
5 01118300 0.3922744 0.14445269 0.59322655 0.12272887 0.07466958 0.5483871 0.21655135 0.41778526 0.035903413 0.0 0.42857134 0.0074389847 0.03116608 0.00024547242 0.933 1.0 0.9966534 0.9939775 0.70636845 0.25506732 1.0 0.13369061 0.20905769 0.5232773 0.6228278 0.3976749 0.15311345
6 01121000 0.3708281 0.14141968 0.61098516 0.17016724 0.0798862 0.5483871 0.12064544 0.40156597 0.027639959 0.0 0.42857134 0.036880396 0.06345149 0.0025679597 0.9652 0.9717286 1.0 0.9902307 0.75197405 0.17528683 1.0 0.14340591 0.19404623 0.49613428 0.5651855 0.40577286 0.15091328
7 01123000 0.38344842 0.1431509 0.6087406 0.15011515 0.07674968 0.53427416 0.15556279 0.39821032 0.032325063 0.0 0.42857134 0.03085957 0.064059965 0.0028626816 0.9141 0.96567136 0.99634826 0.9886533 0.7668375 0.1777631 1.0 0.14292519 0.19487838 0.4632875 0.52830696 0.3789094 0.14107372
8 01134500 0.34041706 0.06770284 0.7063001 0.30958155 0.07678219 0.3205645 0.07629626 0.1744967 0.0015776865 0.0 0.42503574 0.123654515 0.18331711 0.0074107083 0.9963 0.8750584 0.8822849 0.9596819 0.71854466 0.076750144 0.6762537 0.21498787 0.09690458 0.40415728 0.4061312 0.62278736 0.22425306
9 01137500 0.40273726 0.086104035 0.6820973 0.33300894 0.06372862 0.3064516 0.20258144 0.19267343 0.0059471573 0.0 0.42857134 0.21753623 0.4288855 0.008706709 0.9972 0.8004499 0.75047666 0.93175805 0.58495724 0.026093276 0.7255458 0.15171398 0.17253958 0.40308526 0.5409766 0.42199662 0.14187175
10 01139000 0.30027568 0.075535394 0.707781 0.27204606 0.09105121 0.43346772 0.09259257 0.2782438 0.013004919 0.52167875 0.63892853 0.101975024 0.16591354 0.009396204 0.9737 0.9016976 0.907108 0.9513085 0.70337576 0.07021742 0.8651824 0.20757258 0.1065878 0.49413848 0.42862374 0.6071503 0.2360014
11 01139800 0.32065213 0.080177195 0.7049872 0.28944188 0.084936574 0.46572584 0.08805541 0.31124163 0.014504428 1.0 0.8392856 0.14264092 0.15763856 0.0007278858 1.0 0.9292435 0.95928895 0.9772042 0.79754466 0.04523423 0.7547616 0.20383608 0.11025162 0.4467768 0.4389427 0.59941375 0.23196253
12 01142500 0.32199737 0.087158844 0.68335885 0.27838507 0.08570346 0.47983867 0.05215262 0.30676734 0.0123632485 0.7645014 0.7025892 0.094471455 0.18089312 0.003030208 0.9799 0.8665716 0.87445545 0.9577724 0.74519736 0.05261559 0.9600061 0.21105288 0.09858422 0.5550957 0.41599822 0.60107356 0.25959525
13 01144000 0.33480307 0.09091782 0.6903747 0.27414647 0.082298845 0.44959673 0.057787653 0.30900446 0.015618263 0.32370672 0.55710703 0.12625493 0.2333397 0.06926782 0.9813 0.91983 0.92972225 0.9747279 0.7444638 0.0370936 0.8625407 0.20456068 0.10583739 0.49729472 0.43467072 0.5907162 0.23163721
14 01162500 0.37853932 0.12598169 0.6293831 0.25020683 0.07546235 0.5322581 0.07040055 0.3945749 0.02507787 0.0 0.42857134 0.0842074 0.06919557 0.0017714346 0.9663 0.9655918 0.85574806 0.95729816 0.4877051 0.18256013 1.0 0.11566783 0.23770747 0.5363649 0.6814925 0.3488882 0.14285083
15 01169000 0.39513683 0.12423328 0.636336 0.26367152 0.071009114 0.4717742 0.050411556 0.32578295 0.019332858 0.019691866 0.39983934 0.10241031 0.19116467 0.008787758 0.997 0.96088314 0.9536618 0.98418975 0.68467164 0.0743622 0.7301798 0.21731499 0.09301849 0.4420657 0.40519053 0.5812362 0.22368623
16 01170100 0.39193088 0.12081332 0.63705367 0.25890628 0.071294434 0.4858871 0.03258745 0.3157159 0.017320843 0.3187741 0.49830347 0.08859946 0.19033007 0.003992708 0.997 0.9620217 0.95646477 0.9782698 0.6864529 0.068283334 0.71485656 0.19108304 0.1181406 0.41967025 0.47642913 0.5713801 0.20326173
17 01181000 0.38233674 0.12900767 0.6482641 0.24004918 0.07492734 0.50403225 0.08256169 0.3422819 0.019725256 0.002995176 0.4274821 0.114496894 0.12736955 0.009286459 0.9944 0.9623911 0.97430813 0.9828241 0.72673154 0.09596941 0.71366626 0.19258277 0.117893144 0.41196206 0.4684339 0.5510306 0.21303648
18 01187300 0.39868727 0.1341043 0.6463248 0.22207144 0.07157593 0.53427416 0.10468821 0.3727629 0.024300236 0.0 0.2892143 0.083935 0.14692177 0.001934695 0.9932 0.9645405 0.9383503 0.96658236 0.6184936 0.13485484 0.7633595 0.19789147 0.10452249 0.43571928 0.4593619 0.45025826 0.19920167
19 01333000 0.36902505 0.11024358 0.6713454 0.245215 0.07558692 0.44758064 0.13287336 0.32438475 0.018382447 0.31236273 0.5577678 0.1335872 0.29021123 0.0041931965 0.9844 0.89040095 0.9145289 0.97156703 0.78650475 0.051829956 0.44936535 0.23419735 0.08107398 0.30844265 0.35630012 0.68191874 0.25685194
20 01350000 0.38894188 0.1219433 0.65670484 0.25505108 0.07220051 0.50403225 0.09567904 0.36912748 0.021930994 0.0 0.23126788 0.16921513 0.3430407 0.023596376 0.9966 0.8984589 0.896123 0.960425 0.70021826 0.033410504 0.59645057 0.2605075 0.060580518 0.3805709 0.2927281 0.622249 0.22549458
21 01350140 0.34451842 0.120009676 0.6760898 0.24258247 0.08412806 0.42338708 0.10264328 0.32158834 0.014664896 0.0 0.124392845 0.15993676 0.23935144 0.0015406982 0.991 0.8971884 0.88127226 0.9602677 0.6914356 0.05957842 0.46774235 0.2886519 0.04542601 0.28723636 0.16799347 0.7159264 0.24203107
